country_code,country,nickname,region_member_of,population,ethnicity,white,yellow,brown,black,male_name,female_name
SAU,Saudi Arabia,Saudi Arabia,Western Asia,32000000,Saudi Arabia,1,3,93,3,Mohamed,Maryam
SEN,Senegal,Senegal,Western Africa,15000000,Senegal,3,3,3,91,Mamadou,Fatoumata
SRB,Serbia,Serbia,Southern Europe,8000000,Serbia,91,1,7,1,Nikola,Milica
SYC,Seychelles,Seychelles,Eastern Africa,90000,Seychelles,33,13,27,27,Manuel,Maria
SLE,Sierra Leone,Sierra Leone,Western Africa,7000000,Sierra Leone,1,1,1,97,Mamadou,Fatoumata
SGP,Singapore,Singapore,South-Eastern Asia,5000000,Singapore,1,77,21,1,Muhamed,Hannah
SXM,Sint Maarten,Dutch Sint Maarten,Caribbean,40000,Guyana,2,2,60,36,Sebastian,Camila
SVK,Slovakia,Slovakia,Eastern Europe,5000000,Slovakia,96,1,2,1,Jakub,Sofia
SVN,Slovenia,Slovenia,Southern Europe,2000000,Slovenia,97,1,1,1,Luka,Ema
SLB,Solomon Islands,Solomon Islands,Melanesia,610000,Solomon Islands,1,1,97,1,Gabriel,Louise
SOM,Somalia,Somalia,Eastern Africa,14000000,Somalia,1,1,1,97,Manuel,Maria
ZAF,South Africa,South Africa,Southern Africa,56000000,South Africa,10,1,10,79,Junior,Precious
SSD,South Sudan,South Sudan,Eastern Africa,12000000,Sudan,1,1,46,52,Manuel,Maria
ESP,Spain,Spain,Southern Europe,46000000,Spain,97,1,1,1,Hugo,Lucia
LKA,Sri Lanka,Sri Lanka,Southern Asia,20000000,Sri Lanka,2,2,86,10,Aarav,Aadya
SDN,Sudan,North Sudan,Northern Africa,40000000,Sudan,1,1,46,52,Mohamed,Shaimaa
SUR,Suriname,Suriname,South America,560000,Suriname,1,2,87,10,Sebastian,Camila
SWZ,Swaziland,Swaziland,Southern Africa,1000000,Swaziland,3,1,1,95,Junior,Precious
SWE,Sweden,Sweden,Northern Europe,9000000,Sweden,97,1,1,1,Oscar,Alice
CHE,Switzerland,Switzerland,Western Europe,8000000,Switzerland,95,1,3,1,Noah,Mia
SYR,Syria,Syria,Western Asia,18000000,Syrian Arab Republic,2,2,94,2,Yusuf,Fatma
TJK,Tajikistan,Tajikistan,Central Asia,8000000,Tajikistan,1,1,97,1,Muhammad,Sumayah
TZA,Tanzania,Tanzania,Eastern Africa,57000000,United Republic of Tanzania,1,1,1,97,Manuel,Maria
THA,Thailand,Thailand,South-Eastern Asia,69000000,Thailand,3,91,3,3,Somchai,Hannah
TLS,Timor-Leste,East Timor,South-Eastern Asia,1000000,Timor-Leste,1,10,88,1,Muhamed,Hannah
TGO,Togo,Togo,Western Africa,7000000,Togo,1,1,1,97,Mamadou,Fatoumata
TON,Tonga,Tonga,Polynesia,110000,Tonga,1,1,97,1,Nikau,Maia
TTO,Trinidad and Tobago,Trinidad and Tobago,Caribbean,1000000,Trinidad and Tobago,1,1,60,38,Sebastian,Camila
TUN,Tunisia,Tunisia,Northern Africa,11000000,Tunisia,1,1,97,1,Mehdi,Mariam
TUR,Turkey,Turkey,Western Asia,80000000,Turkey,1,1,97,1,Yusuf,Fatma
TKM,Turkmenistan,Turkmenistan,Central Asia,5000000,Turkmenistan,6,1,92,1,Muhammad,Sumayah
TUV,Tuvalu,Tuvalu,Polynesia,10000,Tuvalu,1,1,97,1,Maui,Tiare
UGA,Uganda,Uganda,Eastern Africa,42000000,Uganda,1,1,1,97,Manuel,Maria
UKR,Ukraine,Ukraine,Eastern Europe,44000000,Ukraine,97,1,1,1,Artem,Anna
ARE,United Arab Emirates,United Arab Emirates,Western Asia,9000000,United Arab Emirates,4,4,91,1,Mohammad,Mariam
GBR,United Kingdom,United Kingdom,Northern Europe,66000000,United Kingdom of Great Britain and Northern Ireland,92,1,5,2,Jack,Amelia
USA,United States,United States of America,Northern America,324000000,United States of America,70,4,13,13,Noah,Emma
URY,Uruguay,Uruguay,South America,3000000,Uruguay,87,1,8,4,Santiago,Florencia
UZB,Uzbekistan,Uzbekistan,Central Asia,31000000,Uzbekistan,6,1,92,1,Muhammad,Sumayah
VUT,Vanuatu,Vanuatu,Melanesia,280000,Vanuatu,1,1,97,1,Gabriel,Louise
VEN,Venezuela,Venezuela,South America,31000000,Venezuela (Bolivarian Republic of),1,1,91,7,Sebastian,Camila
VNM,Vietnam,Vietnam,South-Eastern Asia,95000000,Viet Nam,1,97,1,1,Cheng,Li
YEM,Yemen,Yemen,Western Asia,28000000,Yemen,1,1,97,1,Mohamed,Maryam
ZMB,Zambia,Zambia,Eastern Africa,17000000,Zambia,1,1,1,97,Manuel,Maria
ZWE,Zimbabwe,Zimbabwe,Eastern Africa,16000000,Zimbabwe,1,1,1,97,Manuel,Maria
